No.,Time,Source,Destination,Protocol,Length,Seq,Ack,Win,Len
16,0.203125,"81.131.67.131","142.68.189.57","TCP",54,1,117,8866,0
18,0.328125,"210.146.64.4","81.131.67.131","TCP",1514,1,1,6432,1460
21,0.328125,"81.131.67.131","210.146.64.4","TCP",54,1,1461,8760,0
27,0.515625,"38.115.4.204","81.131.67.131","TCP",836,1,1,64611,782
29,0.515625,"81.131.67.131","38.115.4.204","TCP",54,9,783,8760,0
31,0.578125,"38.115.4.204","81.131.67.131","TCP",54,783,9,64603,0
32,0.578125,"81.131.67.131","38.115.4.204","TCP",62,9,783,8760,8
36,0.75,"81.131.67.131","70.27.127.185","TCP",54,1,82,8109,0
37,0.859375,"210.146.64.4","81.131.67.131","TCP",1514,1461,1,6432,1460
38,0.859375,"24.11.146.28","81.131.67.131","TCP",54,1,1,65311,0
39,0.859375,"81.131.67.131","24.11.146.28","TCP",62,1,4294965611,10164,8
41,0.875,"81.131.67.131","210.146.64.4","TCP",54,1,2921,8760,0
42,1.15625,"210.146.64.4","81.131.67.131","TCP",1514,2921,1,6432,1460
43,1.15625,"81.131.67.131","210.146.64.4","TCP",54,1,4381,8760,0
47,1.453125,"210.146.64.4","81.131.67.131","TCP",1514,4381,1,6432,1460
48,1.453125,"81.131.67.131","210.146.64.4","TCP",54,1,5841,8760,0
49,1.734375,"210.146.64.4","81.131.67.131","TCP",1514,5841,1,6432,1460
50,1.734375,"68.34.169.230","81.131.67.131","TCP",79,1,1,64285,25
51,1.734375,"81.131.67.131","210.146.64.4","TCP",54,1,7301,8760,0
53,1.796875,"211.28.6.30","81.131.67.131","TCP",138,1,1,7465,84
54,1.796875,"81.131.67.131","211.28.6.30","TCP",54,1,85,8760,0
56,1.953125,"81.131.67.131","68.34.169.230","TCP",54,1,26,8604,0
57,2.078125,"210.146.64.4","81.131.67.131","TCP",1514,7301,1,6432,1460
59,2.078125,"81.131.67.131","210.146.64.4","TCP",54,1,8761,8760,0
63,2.28125,"81.131.67.131","142.68.189.57","TCP",54,1,182,8801,0
68,2.390625,"210.146.64.4","81.131.67.131","TCP",1514,8761,1,6432,1460
69,2.390625,"81.131.67.131","210.146.64.4","TCP",54,1,10221,8760,0
72,2.484375,"38.115.4.204","81.131.67.131","TCP",459,783,9,64603,405
73,2.515625,"38.115.4.204","81.131.67.131","TCP",120,1188,17,64595,66
74,2.515625,"81.131.67.131","38.115.4.204","TCP",62,17,1254,8289,8
76,2.546875,"213.19.160.190","81.131.67.131","TCP",54,1,1,6432,0
